,No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,Unnamed: 6,Unnamed: 7,Teks_Bersih,Tokens
0,1,@delliananda,"""Kaka tidur yaa, udah pagi, gaboleh capek2""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,,kakak tidur pagi gaboleh capek,"['kakak', 'tidur', 'pagi', 'gaboleh', 'capek']"
1,2,@fenninbl,"""makan nasi padang aja begini badannya""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,,makan nasi padang badan,"['makan', 'nasi', 'padang', 'badan']"
2,3,@abdurahmanshq,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",Bullying,14 Oktober 2019,@isyanasarasvati,,,suka cukur jembut manggung,"['suka', 'cukur', 'jembut', 'manggung']"
3,4,@najla.yoo,"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,,hai kak isyana fan kak isyana suka lagu kak isyana lagu dalam jiwa,"['hai', 'kak', 'isyana', 'fan', 'kak', 'isyana', 'suka', 'lagu', 'kak', 'isyana', 'lagu', 'dalam', 'jiwa']"
4,5,@dessy_______,"""Manusia apa bidadari sih herann deh cantik terus ????""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,,manusia bidadari heran deh cantik,"['manusia', 'bidadari', 'heran', 'deh', 'cantik']"
5,6,@e.fril,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",Bullying,14 Oktober 2019,@isyanasarasvati,,,kinanti isyan ubah baju nakal,"['kinanti', 'isyan', 'ubah', 'baju', 'nakal']"
6,7,@bahasa.bayi.planet,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",Non-bullying,16 September 2019,@isyanasarasvati,,,gemas isyan kayak tango lap lapis cia,"['gemas', 'isyan', 'kayak', 'tango', 'lap', 'lapis', 'cia']"
7,8,@khanayarudinita,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",Bullying,22 Juni 2019,@tasyakamila,,,jelek anak ayah cakep,"['jelek', 'anak', 'ayah', 'cakep']"
8,9,@reniaulia225,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",Bullying,22 Juni 2019,@tasyakamila,,,anak kayak tua muka tasya,"['anak', 'kayak', 'tua', 'muka', 'tasya']"
9,10,@nurjanah.hani,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",Bullying,22 Juni 2019,@tasyakamila,,,muka anak tua enggak gemas enggak lucu,"['muka', 'anak', 'tua', 'enggak', 'gemas', 'enggak', 'lucu']"
10,11,@rizalandriawanp,"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",Bullying,6 Juni 2019,@randibachtiar,,,muka muka kolot wkwk muka bayi lucu,"['muka', 'muka', 'kolot', 'wkwk', 'muka', 'bayi', 'lucu']"
11,12,@yudharamm,"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",Bullying,24 Desember 2020,@lutfiagizal,,,gila orang wkwk jomblo psikolog enggak laku,"['gila', 'orang', 'wkwk', 'jomblo', 'psikolog', 'enggak', 'laku']"
12,13,@mubarakbasslom,"""Lo sintingnya udah tingkat dewa""",Bullying,24 Desember 2020,@lutfiagizal,,,lo sinting tingkat dewa,"['lo', 'sinting', 'tingkat', 'dewa']"
13,14,@erma_09,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",Bullying,24 Desember 2020,@lutfiagizal,,,lutfi putus salsa orang stres,"['lutfi', 'putus', 'salsa', 'orang', 'stres']"
14,15,@rurrizki_maulana,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",Bullying,28 Oktober 2020,@lufiagizal,,,anak tolol aktif bunda,"['anak', 'tolol', 'aktif', 'bunda']"
15,16,@lala.laxii,"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",Bullying,8 Desember 2020,@lutfiagizal,,,mati enggak gedek lihat lu anjim,"['mati', 'enggak', 'gedek', 'lihat', 'lu', 'anjim']"
16,17,@menisa6634,"""Woy Lutfi asu , sok asik Lo ANJING !""",Bullying,8 Desember 2020,@lutfiagizal,,,woy lutfi asu sok asik lo anjing,"['woy', 'lutfi', 'asu', 'sok', 'asik', 'lo', 'anjing']"
17,18,@farsyahl_,"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",Bullying,6 Desember 2020,@lutfiagizal,,,apasih kontol antem ayo bngst,"['apasih', 'kontol', 'antem', 'ayo', 'bngst']"
18,19,@lennyliando,"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",Bullying,16 Juni 2020,@listychanpokemon,,,pelakor plus hamil nikah pantesan anak kayak model,"['pelakor', 'plus', 'hamil', 'nikah', 'pantesan', 'anak', 'kayak', 'model']"
19,20,@tatianayaaaa,"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""",Bullying,25 Oktober 2020,@kalinaocktarany,,,anak pintar maknya lempeng asa baby tinggi azka lebih mama,"['anak', 'pintar', 'maknya', 'lempeng', 'asa', 'baby', 'tinggi', 'azka', 'lebih', 'mama']"
20,21,@ferlista234,"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",Non-bullying,25 Oktober 2020,@kalinaocktarany,,,anak cerdas bentuk pola asuh pola didik orang tua cerdas sara sesimple,"['anak', 'cerdas', 'bentuk', 'pola', 'asuh', 'pola', 'didik', 'orang', 'tua', 'cerdas', 'sara', 'sesimple']"
21,22,@sekiya.sat,"""Setengah iri setengah jadi motivasi ini""",Non-bullying,25 Oktober 2020,@kalinaocktarany,,,iri motivasi,"['iri', 'motivasi']"
22,23,@emi_muslikah,"""Ancur hidup lu kalau sama dia Sumpah..""",Bullying,15 November 2020,@kalinaocktarany,,,hancur hidup lu sumpah,"['hancur', 'hidup', 'lu', 'sumpah']"
23,24,@tetikasmy7615,"""serem banget muka lo mel kayak ayam potong merah banget""",Bullying,27 Desember 2020,@rosameldianti_,,,seram muka lo mel kayak ayam potong merah,"['seram', 'muka', 'lo', 'mel', 'kayak', 'ayam', 'potong', 'merah']"
24,25,@xcnadilax,"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",Non-bullying,27 Desember 2020,@rosameldianti_,,,yaudah usaha kuliner enggak artis makan bikin ngiler wkwkw,"['yaudah', 'usaha', 'kuliner', 'enggak', 'artis', 'makan', 'bikin', 'ngiler', 'wkwkw']"
25,26,@ghy.14,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",Non-bullying,27 Desember 2020,@rosameldianti_,,,cocok usaha kuliner fixs semoha lancat,"['cocok', 'usaha', 'kuliner', 'fixs', 'semoha', 'lancat']"
26,27,@rubybee_16,"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",Bullying,27 Desember 2020,@rosameldianti_,,,tak jelek image owner artis ups artis halo langsung orang tau image lu jelek gentong,"['tak', 'jelek', 'image', 'owner', 'artis', 'ups', 'artis', 'halo', 'langsung', 'orang', 'tau', 'image', 'lu', 'jelek', 'gentong']"
27,28,@syi_faalatas,"""Apaan sih gak jelas hidupnya""",Bullying,28 Desember 2020,@rosameldianti_,,,enggak hidup,"['enggak', 'hidup']"
28,29,@swity_nananana,"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",Bullying,28 Desember 2020,@rosameldianti_,,,unfol bilang najis,"['unfol', 'bilang', 'najis']"
29,30,@dellasss1,"""muka lu sensual tapi norak kenapa dah""",Bullying,28 Desember 2020,@rosameldianti_,,,muka lu sensual norak deh,"['muka', 'lu', 'sensual', 'norak', 'deh']"
30,31,@bundafahryfahry,"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",Non-bullying,28 Desember 2020,@rosameldianti_,,,enggak jaman ngebully orang hey netizen mending kaca kurang,"['enggak', 'jaman', 'ngebully', 'orang', 'hey', 'netizen', 'mending', 'kaca', 'kurang']"
31,32,@jeenida_abdullah_aras,"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",Non-bullying,28 Desember 2020,@rosameldianti_,,,tempat imut loh mel,"['tempat', 'imut', 'loh', 'mel']"
32,33,@depoy110,"""Cakep kaga jelek iya HAHAH""",Bullying,28 Desember 2020,@rosameldianti_,,,cakep kagak jelek hahah,"['cakep', 'kagak', 'jelek', 'hahah']"
33,34,@ferd.iansyah454,"""jari jari kaki kayak jarinya tukang panggul""",Bullying,26 Desember 2020,@rosameldianti_,,,jari jari kaki kayak jari tukang panggul,"['jari', 'jari', 'kaki', 'kayak', 'jari', 'tukang', 'panggul']"
34,35,@chenul98,"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",Bullying,26 Desember 2020,@rosameldianti_,,,kaki kayak hamil tua bun kaki gajah,"['kaki', 'kayak', 'hamil', 'tua', 'bun', 'kaki', 'gajah']"
